time,temperature
0,9.2555
1,9.8518
2,10.374
3,10.171
4,9.6125
5,9.27
6,8.853
7,8.3984
8,7.9359
9,7.5219
10,7.2526
11,7.1036
12,6.9736
13,6.8025
14,6.5754
15,6.3954
16,6.2219
17,6.0542
18,5.8557
19,6.2286
20,7.3219
21,8.8189
22,10.406
23,11.542
24,11.807
25,12.234
26,11.835
27,11.644
28,11.051
29,10.267
30,9.677
31,9.0855
32,8.5327
33,8.1708
34,7.8838
35,7.6553
36,7.4688
37,7.2913
38,7.1371
39,7.0706
40,7.0135
41,6.993
42,7.2688
43,7.7052
44,8.168
45,9.0457
46,9.7866
47,10.619
48,11.541
49,11.698
50,11.713
51,11.477
52,10.988
53,10.504
54,10.061
55,9.7063
56,9.4107
57,9.2002
58,9.04
59,8.9254
60,8.7948
61,8.6773
62,8.5795
63,8.4829
64,8.4138
65,8.3801
66,8.4284
67,8.6259
68,9.0252
69,9.4285
70,9.587
71,9.6923
72,10.188
73,10.29
74,10.372
75,10.45
76,10.335
77,10.138
78,9.9634
79,9.7997
80,9.6341
81,9.4436
82,9.3262
83,9.2355
84,9.0756
85,9.0076
86,8.919
87,8.8027
88,8.7388
89,8.6927
90,8.7723
91,8.9242
92,9.1635
93,9.4218
94,9.7574
95,9.9617
96,10.062
97,10.212
98,10.295
99,10.323
100,10.336
101,10.273
102,9.9803
103,9.6471
104,9.3552
105,9.1596
106,9.034
107,8.8671
108,8.6745
109,8.5041
110,8.3991
111,8.2548
112,8.0031
113,7.871
114,7.9342
115,8.2722
116,8.8912
117,9.9624
118,12.19
119,13.499
120,13.937
121,13.589
122,13.075
123,12.232
124,11.499
125,10.96
126,10.354
127,9.518
128,8.5556
129,7.7705
130,7.1989
131,6.7968
132,6.3568
133,5.9426
134,5.5503
135,5.205
136,4.9071
137,4.8256
138,5.4416
139,6.7246
140,7.7501
141,8.5642
142,10.406
143,12.357
144,14.107
145,13.857
146,12.988
147,12.452
148,12.393
149,12.198
150,11.498
151,10.568
152,9.5873
153,8.8304
154,8.1818
155,7.5275
156,7.0211
157,6.6182
158,6.3148
159,5.959
160,5.6308
161,5.9276
162,6.5763
163,7.593
164,8.8541
165,10.13
166,10.949
167,12.555
168,12.964
169,12.723
170,12.907
171,13.021
172,12.949
173,12.584
174,11.995
